imdb_id_final,title,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,url,n_nodes,network_density,average_clustering,modularity,average_shortest_path_largest_component,genre_drama,genre_thriller,genre_comedy,genre_action,genre_crime,genre_romance,genre_adventure,genre_scifi,genre_horror,genre_mystery,genre_fantasy,genre_family,genre_animation,genre_war,genre_musical,genre_western
tt0147800,10 Things I Hate About You,10 Things I Hate About You,0.0,1999.0,97.0,"['Comedy', 'Romance']",7.4,https://imsdb.com/Movie Scripts/10 Things I Hate About You Script.html,17.0,0.16911764705882354,0.11921086335607066,0.18832703213610585,2.161764705882353,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0192947,12,12,0.0,2003.0,124.0,"['Comedy', 'Read ""12"" Script']",7.8,https://imsdb.com/Movie Scripts/12 Script.html,12.0,0.18181818181818182,0.04464105812856264,0.3391003460207612,2.121212121212121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0417385,12 and Holding,12 and Holding,0.0,2005.0,94.0,['Drama'],7.4,https://imsdb.com/Movie Scripts/12 and Holding Script.html,11.0,0.21818181818181817,0.11839303984527406,0.19031141868512108,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0114746,12 Monkeys,12 Monkeys,0.0,1995.0,129.0,"['Drama', 'Sci-Fi', 'Thriller']",8.0,https://imsdb.com/Movie Scripts/12 Monkeys Script.html,26.0,0.09846153846153846,0.038948121312105025,0.13537190082644623,2.1569230769230767,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tt2024544,12 Years a Slave,12 Years a Slave,0.0,2013.0,134.0,['Drama'],8.1,https://imsdb.com/Movie Scripts/12 Years a Slave Script.html,11.0,0.18181818181818182,0.0,0.3046875,2.1454545454545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0103594,1492: Conquest of Paradise,1492: Conquest of Paradise,0.0,1992.0,154.0,"['Adventure', 'Drama']",6.4,https://imsdb.com/Movie Scripts/1492: Conquest of Paradise Script.html,37.0,0.05855855855855856,0.023792882395827233,0.3958,2.918918918918919,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt0179626,15 Minutes,15 Minutes,0.0,2001.0,120.0,"['Action', 'Crime', 'Thriller', 'Read ""15 Minutes"" Script']",6.1,https://imsdb.com/Movie Scripts/15 Minutes Script.html,33.0,0.0928030303030303,0.042606227492110356,0.2843481213218651,2.5625,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tt0974661,17 Again,17 Again,0.0,2009.0,102.0,"['Comedy', 'Drama', 'Romance']",6.4,https://imsdb.com/Movie Scripts/17 Again Script.html,23.0,0.11857707509881422,0.05253198918931027,0.2909807956104252,2.3596837944664033,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
tt0118531,187,One Eight Seven,0.0,1997.0,119.0,['Drama'],6.6,https://imsdb.com/Movie Scripts/187 Script.html,16.0,0.18333333333333332,0.05415454763452165,0.25396825396825395,2.1416666666666666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1190080,2012,2012,0.0,2009.0,158.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",5.8,https://imsdb.com/Movie Scripts/2012 Script.html,40.0,0.06923076923076923,0.033630988002374,0.5253086419753086,3.580769230769231,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
